[rosmaster.main][INFO] 2026-04-09 01:49:09,789: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2026-04-09 01:49:09,789: Starting ROS Master Node
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/publish/path_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/publish/scan_publish_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/publish/dense_publish_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/publish/scan_bodyframe_pub_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/pcd_save/pcd_save_en] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/pcd_save/interval] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/feature_extract_enable] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/point_filter_num] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/max_iteration] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/filter_size_surf] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/filter_size_map] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/cube_side_length] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/runtime_pos_log_enable] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/use_dynamic_weights] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/tracked_topic] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_speed_ref] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_acc_ref] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_speed_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_acc_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_score_penalty] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_min_weight] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_bbox_margin_xy] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_bbox_margin_z] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_timeout] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,059: +PARAM [/preprocess/dynamic_min_track_length] by /roslaunch
[rosmaster.master][INFO] 2026-04-09 01:49:36,114: +PUB [/rosout] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,115: +SERVICE [/laserMapping/get_loggers] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,115: +SERVICE [/laserMapping/set_logger_level] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,115: +SUB [/clock] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,122: +SUB [/detection/pointcloud] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,123: +SUB [/detection/imu] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +SUB [/mctrack/tracked_objects] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/cloud_registered] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/cloud_registered_body] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/cloud_effected] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/Laser_map] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/Odometry] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/Odometry_imu_predicted] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,124: +PUB [/path] /laserMapping http://z790m:36775/
[rosmaster.master][INFO] 2026-04-09 01:49:36,138: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,139: publisherUpdate[/cloud_registered] -> http://z790m:41003/ ['http://z790m:36775/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,139: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,139: publisherUpdate[/cloud_registered] -> http://z790m:41003/ ['http://z790m:36775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,139: publisherUpdate[/Odometry] -> http://z790m:41003/ ['http://z790m:36775/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,140: publisherUpdate[/Odometry] -> http://z790m:41003/ ['http://z790m:36775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,140: publisherUpdate[/path] -> http://z790m:41003/ ['http://z790m:36775/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,140: publisherUpdate[/path] -> http://z790m:41003/ ['http://z790m:36775/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,277: +PUB [/rosout] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,282: +SUB [/clock] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,284: +SERVICE [/fastlio_pose_bridge/get_loggers] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,286: +SERVICE [/fastlio_pose_bridge/set_logger_level] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,291: +PUB [/mctrack/lidar_pose] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,293: +PUB [/tf] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,295: +SUB [/Odometry_imu_predicted] /fastlio_pose_bridge http://z790m:43181/
[rosmaster.master][INFO] 2026-04-09 01:49:36,296: +CACHEDPARAM [/rosout_disable_topics_generation] by /fastlio_pose_bridge
[rosmaster.master][INFO] 2026-04-09 01:49:36,339: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/', 'http://z790m:43181/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,340: publisherUpdate[/mctrack/lidar_pose] -> http://z790m:45155/ ['http://z790m:43181/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,341: publisherUpdate[/tf] -> http://z790m:41003/ ['http://z790m:43181/']
[rosmaster.master][INFO] 2026-04-09 01:49:36,342: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/', 'http://z790m:43181/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,345: publisherUpdate[/tf] -> http://z790m:41003/ ['http://z790m:43181/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:36,345: publisherUpdate[/mctrack/lidar_pose] -> http://z790m:45155/ ['http://z790m:43181/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:40,862: +PARAM [/use_sim_time] by /rosparam-18198
[rosmaster.master][INFO] 2026-04-09 01:49:40,991: +PUB [/rosout] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,991: +SERVICE [/play_1775670580990468342/get_loggers] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,991: +SERVICE [/play_1775670580990468342/set_logger_level] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,992: +SUB [/clock] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,992: +PUB [/clock] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,992: +SERVICE [/play_1775670580990468342/pause_playback] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,992: +CACHEDPARAM [/rosout_disable_topics_generation] by /play_1775670580990468342
[rosmaster.master][INFO] 2026-04-09 01:49:40,997: +PUB [/tf_static] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,997: +PUB [/kitti/velo/pointcloud] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:40,997: +PUB [/kitti/oxts/imu] /play_1775670580990468342 http://z790m:34277/
[rosmaster.master][INFO] 2026-04-09 01:49:41,050: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/', 'http://z790m:43181/', 'http://z790m:34277/']
[rosmaster.master][INFO] 2026-04-09 01:49:41,052: publisherUpdate[/rosout] -> http://z790m:38763/ ['http://z790m:35905/', 'http://z790m:41003/', 'http://z790m:38931/', 'http://z790m:45155/', 'http://z790m:36775/', 'http://z790m:43181/', 'http://z790m:34277/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2026-04-09 01:49:41,052: publisherUpdate[/clock] -> http://z790m:36775/ ['http://z790m:34277/']
[rosmaster.master][INFO] 2026-04-09 01:49:41,052: publisherUpdate[/clock] -> http://z790m:43181/ ['http://z790m:34277/']
[rosmaster.master][INFO] 2026-04-09 01:49:41,053: publisherUpdate[/clock] -> http://z790m:34277/ ['http://z790m:34277/']
